Word,W_Length,W_TotalStrokes,W_Count,W(log),W_million,W_CD,W_CD(log),W_CD(ratio)
的,1,8,1682530,6.226,50155.13,6243,3.7954,100
我,1,7,1682285,6.2259,50147.83,6242,3.7953,99.98
你,1,7,1329424,6.1237,39629.27,6242,3.7953,99.98
是,1,9,947807,5.9767,28253.52,6243,3.7954,100
了,1,2,946365,5.9761,28210.53,6243,3.7954,100
不,1,4,689161,5.8383,20543.44,6242,3.7953,99.98
在,1,6,429766,5.6332,12811.05,6242,3.7953,99.98
他,1,5,397653,5.5995,11853.78,6237,3.795,99.9
我们,2,12,371696,5.5702,11080.02,6241,3.7953,99.97
好,1,6,334698,5.5247,9977.13,6241,3.7953,99.97
有,1,6,289109,5.4611,8618.15,6242,3.7953,99.98
这,1,7,286987,5.4579,8554.9,6241,3.7953,99.97
就,1,12,276636,5.4419,8246.34,6243,3.7954,100
会,1,6,265929,5.4248,7927.17,6242,3.7953,99.98
吗,1,6,249187,5.3965,7428.1,6107,3.7858,97.82
要,1,9,238656,5.3778,7114.18,6242,3.7953,99.98
什么,2,7,236517,5.3739,7050.42,6224,3.7941,99.7
说,1,9,226955,5.3559,6765.38,6242,3.7953,99.98
她,1,6,221420,5.3452,6600.39,6134,3.7877,98.25
想,1,13,212185,5.3267,6325.1,6240,3.7952,99.95
一,1,1,203626,5.3088,6069.96,6240,3.7952,99.95
很,1,9,200584,5.3023,5979.28,6239,3.7951,99.94
知道,2,20,196745,5.2939,5864.84,6238,3.795,99.92
人,1,2,194914,5.2898,5810.26,6239,3.7951,99.94
吧,1,7,194084,5.288,5785.52,6238,3.795,99.92
那,1,6,190087,5.279,5666.37,6238,3.795,99.92
来,1,7,185154,5.2675,5519.32,6239,3.7951,99.94
都,1,10,177619,5.2495,5294.71,6237,3.795,99.9
个,1,3,173905,5.2403,5184,6239,3.7951,99.94
能,1,10,166656,5.2218,4967.91,6239,3.7951,99.94
去,1,5,163054,5.2123,4860.53,6239,3.7951,99.94
没,1,7,159508,5.2028,4754.83,6239,3.7951,99.94
和,1,8,150418,5.1773,4483.86,6214,3.7934,99.54
他们,2,10,140460,5.1476,4187.02,6199,3.7923,99.3
到,1,8,139534,5.1447,4159.42,6238,3.795,99.92
对,1,5,132805,5.1232,3958.83,6229,3.7944,99.78
也,1,3,131801,5.1199,3928.9,6236,3.7949,99.89
啊,1,10,130963,5.1171,3903.92,6126,3.7872,98.13
还,1,7,130326,5.115,3884.93,6235,3.7948,99.87
把,1,7,124534,5.0953,3712.28,6234,3.7948,99.86
让,1,5,123809,5.0928,3690.67,6230,3.7945,99.79
做,1,11,122364,5.0877,3647.59,6226,3.7942,99.73
给,1,9,117218,5.069,3494.19,6235,3.7948,99.87
一个,2,4,116726,5.0672,3479.53,6228,3.7943,99.76
上,1,3,114371,5.0583,3409.33,6238,3.795,99.92
你们,2,12,112946,5.0529,3366.85,6171,3.7904,98.85
过,1,6,112388,5.0507,3350.21,6236,3.7949,99.89
没有,2,13,108237,5.0344,3226.48,6218,3.7937,99.6
得,1,11,105189,5.022,3135.62,6215,3.7934,99.55
看,1,9,102546,5.0109,3056.83,6235,3.7948,99.87
真,1,10,102445,5.0105,3053.82,6224,3.7941,99.7
着,1,11,100091,5.0004,2983.65,6222,3.7939,99.66
事,1,8,97715,4.99,2912.82,6198,3.7923,99.28
这个,2,10,92058,4.9641,2744.19,6229,3.7944,99.78
怎么,2,12,89166,4.9502,2657.98,6210,3.7931,99.47
现在,2,14,88120,4.9451,2626.8,6227,3.7943,99.74
可以,2,9,79198,4.8987,2360.84,6206,3.7928,99.41
点,1,9,77665,4.8902,2315.14,6194,3.792,99.22
呢,1,8,76752,4.8851,2287.93,6196,3.7921,99.25
如果,2,14,76417,4.8832,2277.94,6157,3.7894,98.62
只,1,5,72698,4.8615,2167.08,6223,3.794,99.68
别,1,7,69865,4.8443,2082.63,6143,3.7884,98.4
哦,1,10,69380,4.8412,2068.17,5428,3.7346,86.95
但,1,7,68241,4.834,2034.22,5812,3.7643,93.1
被,1,10,65695,4.8175,1958.33,6150,3.7889,98.51
走,1,7,65258,4.8146,1945.3,6158,3.7894,98.64
太,1,4,65151,4.8139,1942.11,6180,3.791,98.99
这样,2,17,64295,4.8082,1916.59,6194,3.792,99.22
里,1,7,63276,4.8012,1886.22,6179,3.7909,98.97
跟,1,13,62979,4.7992,1877.36,5801,3.7635,92.92
告诉,2,14,61222,4.7869,1824.99,6141,3.7882,98.37
因为,2,10,59823,4.7769,1783.29,6148,3.7887,98.48
自己,2,9,57978,4.7633,1728.29,6155,3.7892,98.59
再,1,6,56520,4.7522,1684.82,6197,3.7922,99.26
听,1,7,54888,4.7395,1636.18,6145,3.7885,98.43
这里,2,14,53900,4.7316,1606.72,5879,3.7693,94.17
快,1,7,53510,4.7284,1595.1,5924,3.7726,94.89
谁,1,10,52782,4.7225,1573.4,6152,3.789,98.54
但是,2,16,52718,4.722,1571.49,5615,3.7493,89.94
多,1,6,52605,4.721,1568.12,6189,3.7916,99.14
用,1,5,52436,4.7196,1563.08,6173,3.7905,98.88
时候,2,17,52176,4.7175,1555.33,6130,3.7875,98.19
下,1,3,51975,4.7158,1549.34,6171,3.7904,98.85
已经,2,11,51772,4.7141,1543.29,6123,3.787,98.08
谢谢,2,24,51457,4.7114,1533.9,6006,3.7786,96.2
为什么,3,11,51063,4.7081,1522.16,6072,3.7833,97.26
觉得,2,20,51047,4.708,1521.68,5956,3.775,95.4
天,1,4,50660,4.7047,1510.14,6117,3.7865,97.98
像,1,13,50229,4.701,1497.29,6057,3.7823,97.02
这么,2,10,49082,4.6909,1463.1,6104,3.7856,97.77
它,1,5,49024,4.6904,1461.37,5777,3.7617,92.54
从,1,4,47313,4.675,1410.37,6129,3.7874,98.17
先生,2,11,46864,4.6708,1396.99,5211,3.7169,83.47
找,1,7,46647,4.6688,1390.52,6006,3.7786,96.2
最,1,12,46464,4.6671,1385.06,6129,3.7874,98.17
喜欢,2,18,46146,4.6641,1375.58,5856,3.7676,93.8
可,1,5,46123,4.6639,1374.9,5922,3.7725,94.86
为,1,4,45565,4.6586,1358.26,6091,3.7847,97.57
大,1,3,45061,4.6538,1343.24,6109,3.786,97.85
可能,2,15,44424,4.6476,1324.25,6005,3.7785,96.19
需要,2,23,44362,4.647,1322.4,5982,3.7768,95.82
是的,2,17,44210,4.6455,1317.87,5568,3.7457,89.19
死,1,6,44056,4.644,1313.28,5748,3.7595,92.07
次,1,6,43873,4.6422,1307.83,6105,3.7857,97.79
出,1,5,42784,4.6313,1275.36,6120,3.7868,98.03
那么,2,9,41794,4.6211,1245.85,5917,3.7721,94.78
干,1,3,41651,4.6196,1241.59,5949,3.7744,95.29
那个,2,9,41417,4.6172,1234.61,6022,3.7797,96.46
嘿,1,15,41175,4.6146,1227.4,4817,3.6828,77.16
们,1,5,39958,4.6016,1191.12,5590,3.7474,89.54
话,1,8,39900,4.601,1189.39,6048,3.7816,96.88
而,1,6,39381,4.5953,1173.92,5899,3.7708,94.49
么,1,3,39120,4.5924,1166.14,3260,3.5132,52.22
东西,2,11,38127,4.5812,1136.54,5958,3.7751,95.43
应该,2,15,37811,4.5776,1127.12,5960,3.7752,95.47
孩子,2,12,37243,4.571,1110.19,5216,3.7173,83.55
起来,2,17,37205,4.5706,1109.06,5973,3.7762,95.68
所以,2,12,37014,4.5684,1103.36,5910,3.7716,94.67
这些,2,15,36735,4.5651,1095.05,5954,3.7748,95.37
才,1,3,36716,4.5649,1094.48,6073,3.7834,97.28
两,1,7,36580,4.5632,1090.43,5953,3.7747,95.35
错,1,13,36166,4.5583,1078.09,5950,3.7745,95.31
还有,2,13,35932,4.5555,1071.11,6078,3.7838,97.36
又,1,2,35561,4.551,1060.05,6000,3.7782,96.11
小,1,3,34967,4.5437,1042.34,5838,3.7663,93.51
中,1,4,34862,4.5424,1039.21,5837,3.7662,93.5
叫,1,5,34648,4.5397,1032.83,5853,3.7674,93.75
嗯,1,13,34639,4.5396,1032.57,4451,3.6485,71.3
该,1,8,34169,4.5336,1018.56,5878,3.7692,94.15
等,1,12,34016,4.5317,1014,5928,3.7729,94.95
问题,2,21,33364,4.5233,994.56,5848,3.767,93.67
一起,2,11,32889,4.5171,980.4,5873,3.7689,94.07
拿,1,10,32361,4.51,964.66,5858,3.7677,93.83
更,1,7,32253,4.5086,961.44,5936,3.7735,95.08
开始,2,12,32126,4.5069,957.66,5934,3.7733,95.05
帮,1,9,31793,4.5023,947.73,5730,3.7582,91.78
打,1,5,31223,4.4945,930.74,5626,3.7502,90.12
爱,1,10,31122,4.4931,927.73,5314,3.7254,85.12
带,1,9,31069,4.4923,926.15,5852,3.7673,93.74
时间,2,14,30703,4.4872,915.24,5902,3.771,94.54
年,1,6,30648,4.4864,913.6,5578,3.7465,89.35
请,1,10,30598,4.4857,912.11,5588,3.7473,89.51
回,1,6,30259,4.4809,902,5948,3.7744,95.27
工作,2,10,30191,4.4799,899.97,5295,3.7239,84.81
然后,2,18,29752,4.4735,886.89,5749,3.7596,92.09
当,1,6,29619,4.4716,882.92,5787,3.7625,92.7
见,1,4,29340,4.4675,874.61,5856,3.7676,93.8
钱,1,10,29221,4.4657,871.06,4602,3.6629,73.71
噢,1,15,29190,4.4652,870.14,3548,3.55,56.83
一样,2,11,28861,4.4603,860.33,5906,3.7713,94.6
事情,2,19,28176,4.4499,839.91,5367,3.7297,85.97
就是,2,21,28137,4.4493,838.75,5877,3.7692,94.14
吃,1,6,27913,4.4458,832.07,5155,3.7122,82.57
所有,2,14,27749,4.4432,827.18,5681,3.7544,91
开,1,4,27382,4.4375,816.24,5709,3.7566,91.45
一下,2,4,27171,4.4341,809.95,5714,3.7569,91.53
家,1,10,27026,4.4318,805.63,5613,3.7492,89.91
非常,2,19,26976,4.431,804.14,5138,3.7108,82.3
看到,2,17,26783,4.4279,798.38,5628,3.7504,90.15
希望,2,18,26658,4.4258,794.66,5741,3.759,91.96
那些,2,14,26450,4.4224,788.46,5594,3.7477,89.6
哪,1,9,26385,4.4214,786.52,5326,3.7264,85.31
当然,2,18,26313,4.4202,784.37,5734,3.7585,91.85
也许,2,9,26083,4.4164,777.52,5032,3.7017,80.6
行,1,6,26032,4.4155,776,5602,3.7483,89.73
朋友,2,12,26017,4.4153,775.55,5439,3.7355,87.12
妈妈,2,12,25730,4.4104,766.99,4246,3.628,68.01
相信,2,18,25699,4.4099,766.07,5665,3.7532,90.74
前,1,9,25613,4.4085,763.51,5722,3.7575,91.65
嗨,1,13,25335,4.4037,755.22,4281,3.6315,68.57
认为,2,8,25294,4.403,754,5162,3.7128,82.68
将,1,9,24946,4.397,743.62,4900,3.6902,78.49
这儿,2,9,24824,4.3949,739.99,4386,3.6421,70.25
今天,2,8,24750,4.3936,737.78,5484,3.7391,87.84
明白,2,13,24744,4.3935,737.6,5475,3.7384,87.7
一直,2,9,24551,4.3901,731.85,5731,3.7582,91.8
看看,2,18,24319,4.3859,724.93,5695,3.7555,91.22
车,1,4,23974,4.3797,714.65,4469,3.6502,71.58
时,1,7,23472,4.3706,699.69,5304,3.7246,84.96
杀,1,6,23405,4.3693,697.69,4221,3.6254,67.61
地方,2,10,23358,4.3684,696.29,5538,3.7434,88.71
不过,2,10,23333,4.368,695.54,4705,3.6726,75.36
呃,1,7,22734,4.3567,677.69,3346,3.5245,53.6
发生,2,10,22602,4.3541,673.75,5395,3.732,86.42
几,1,2,22431,4.3508,668.65,5590,3.7474,89.54
回来,2,13,22423,4.3507,668.42,5483,3.739,87.83
准备,2,18,22202,4.3464,661.83,5365,3.7296,85.94
找到,2,15,22128,4.3449,659.62,5139,3.7109,82.32
后,1,6,22018,4.3428,656.34,5508,3.741,88.23
爸爸,2,16,21930,4.341,653.72,3747,3.5737,60.02
一切,2,5,21709,4.3366,647.13,5326,3.7264,85.31
抱歉,2,22,21563,4.3337,642.78,5096,3.7072,81.63
比,1,4,21371,4.3298,637.06,5555,3.7447,88.98
感觉,2,22,21315,4.3287,635.39,5104,3.7079,81.76
些,1,8,21286,4.3281,634.52,5399,3.7323,86.48
只是,2,14,21213,4.3266,632.35,5389,3.7315,86.32
怎么样,3,22,20986,4.3219,625.58,5278,3.7225,84.54
出来,2,12,20938,4.3209,624.15,5532,3.7429,88.61
不要,2,13,20679,4.3155,616.43,4984,3.6976,79.83
对不起,3,19,20548,4.3128,612.52,4797,3.681,76.84
问,1,6,20455,4.3108,609.75,5286,3.7231,84.67
离开,2,14,20359,4.3088,606.89,5216,3.7173,83.55
一点,2,10,20342,4.3084,606.38,5326,3.7264,85.31
一定,2,9,20273,4.3069,604.33,5274,3.7221,84.48
起,1,10,20231,4.306,603.07,5545,3.7439,88.82
还是,2,16,19998,4.301,596.13,5607,3.7487,89.81
发现,2,13,19774,4.2961,589.45,5060,3.7042,81.05
所,1,8,19715,4.2948,587.69,5175,3.7139,82.89
住,1,7,19602,4.2923,584.32,5175,3.7139,82.89
件,1,6,19568,4.2915,583.31,5259,3.7209,84.24
正,1,5,19536,4.2908,582.36,5406,3.7329,86.59
而且,2,11,19404,4.2879,578.42,5071,3.7051,81.23
并,1,6,19394,4.2877,578.12,5049,3.7032,80.87
必须,2,14,19320,4.286,575.92,4958,3.6953,79.42
意思,2,22,19239,4.2842,573.5,5301,3.7244,84.91
放,1,8,19099,4.281,569.33,5341,3.7276,85.55
不错,2,17,18930,4.2772,564.29,4976,3.6969,79.71
肯定,2,16,18531,4.2679,552.4,5139,3.7109,82.32
电话,2,13,18374,4.2642,547.72,4444,3.6478,71.18
为了,2,6,18274,4.2618,544.74,5293,3.7237,84.78
搞,1,13,18263,4.2616,544.41,4997,3.6987,80.04
棒,1,12,18253,4.2613,544.11,4325,3.636,69.28
第一,2,12,18192,4.2599,542.29,5202,3.7162,83.33
妈,1,6,18110,4.2579,539.85,3660,3.5635,58.63
地,1,6,18009,4.2555,536.84,4878,3.6882,78.14
进,1,7,17634,4.2464,525.66,5243,3.7196,83.98
那样,2,16,17495,4.2429,521.51,5035,3.702,80.65
大家,2,13,17458,4.242,520.41,4580,3.6609,73.36
新,1,13,17291,4.2378,515.43,5059,3.7041,81.03
您,1,11,17279,4.2375,515.08,3172,3.5013,50.81
向,1,6,17219,4.236,513.29,5057,3.7039,81
一些,2,9,17133,4.2338,510.72,4907,3.6908,78.6
三,1,3,16916,4.2283,504.26,4765,3.6781,76.33
那里,2,13,16783,4.2249,500.29,4636,3.6661,74.26
以为,2,8,16582,4.2196,494.3,5192,3.7153,83.17
高兴,2,16,16480,4.217,491.26,4897,3.6899,78.44
嘛,1,14,16472,4.2167,491.02,4286,3.6321,68.65
老,1,6,16451,4.2162,490.39,4530,3.6561,72.56
位,1,7,16368,4.214,487.92,4463,3.6496,71.49
过来,2,13,16223,4.2101,483.6,4951,3.6947,79.3
掉,1,11,16141,4.2079,481.15,4971,3.6964,79.63
先,1,6,16060,4.2057,478.74,5186,3.7148,83.07
等等,2,24,15921,4.202,474.59,4700,3.6721,75.28
生活,2,14,15918,4.2019,474.51,4749,3.6766,76.07
之,1,3,15804,4.1988,471.11,4715,3.6735,75.52
买,1,6,15766,4.1977,469.97,4369,3.6404,69.98
种,1,9,15716,4.1963,468.48,4935,3.6933,79.05
医生,2,12,15679,4.1953,467.38,3079,3.4884,49.32
最后,2,18,15200,4.1818,453.1,4902,3.6904,78.52
之前,2,12,15187,4.1815,452.71,5114,3.7088,81.92
伙计,2,10,15063,4.1779,449.02,3387,3.5298,54.25
手,1,4,15010,4.1764,447.44,4720,3.6739,75.6
任何,2,13,14918,4.1737,444.7,4837,3.6846,77.48
很多,2,15,14874,4.1724,443.38,4980,3.6972,79.77
哪儿,2,11,14873,4.1724,443.35,3735,3.5723,59.83
这种,2,16,14615,4.1648,435.66,4907,3.6908,78.6
上帝,2,12,14605,4.1645,435.37,3685,3.5664,59.03
女人,2,5,14388,4.158,428.9,4137,3.6167,66.27
名字,2,12,14335,4.1564,427.32,4581,3.661,73.38
认识,2,11,14304,4.1555,426.39,4544,3.6574,72.79
坐,1,7,14204,4.1524,423.41,4706,3.6727,75.38
今晚,2,15,14178,4.1516,422.64,3850,3.5855,61.67
其他,2,13,14163,4.1512,422.19,4666,3.6689,74.74
喝,1,12,14004,4.1463,417.45,4206,3.6239,67.37
记得,2,16,13898,4.143,414.29,4713,3.6733,75.49
家伙,2,16,13846,4.1413,412.74,4064,3.609,65.1
与,1,3,13700,4.1367,408.39,4274,3.6308,68.46
或者,2,16,13597,4.1334,405.32,4625,3.6651,74.08
写,1,5,13589,4.1332,405.08,3955,3.5971,63.35
穿,1,9,13586,4.1331,404.99,4351,3.6386,69.69
弄,1,7,13574,4.1327,404.63,4604,3.6631,73.75
过去,2,11,13485,4.1299,401.98,4787,3.6801,76.68
哪里,2,16,13471,4.1294,401.56,3959,3.5976,63.42
啦,1,11,13369,4.1261,398.52,3233,3.5096,51.79
却,1,7,13346,4.1254,397.84,4587,3.6615,73.47
算,1,14,13337,4.1251,397.57,4769,3.6784,76.39
担心,2,12,13238,4.1218,394.62,4815,3.6826,77.13
继续,2,21,13221,4.1213,394.11,4645,3.667,74.4
送,1,9,13212,4.121,393.84,4622,3.6648,74.03
女孩,2,12,13197,4.1205,393.39,3606,3.557,57.76
以,1,4,13083,4.1167,390,4819,3.683,77.19
玩,1,8,13033,4.115,388.51,4171,3.6202,66.81
亲爱,2,19,12783,4.1066,381.05,3644,3.5616,58.37
下来,2,10,12748,4.1054,380.01,4708,3.6728,75.41
成,1,6,12539,4.0983,373.78,4797,3.681,76.84
条,1,7,12508,4.0972,372.86,4324,3.6359,69.26
够,1,11,12404,4.0936,369.76,4753,3.677,76.13
父亲,2,13,12399,4.0934,369.61,3099,3.4912,49.64
以前,2,13,12391,4.0931,369.37,4628,3.6654,74.13
跑,1,12,12332,4.091,367.61,4049,3.6073,64.86
月,1,4,12253,4.0882,365.25,4113,3.6142,65.88
早,1,6,12185,4.0858,363.23,4580,3.6609,73.36
美国,2,17,12185,4.0858,363.23,3232,3.5095,51.77
长,1,4,12173,4.0854,362.87,4563,3.6593,73.09
完全,2,13,12068,4.0816,359.74,4491,3.6523,71.94
宝贝,2,12,11950,4.0774,356.22,3420,3.534,54.78
号,1,5,11862,4.0742,353.6,3261,3.5134,52.23
枪,1,8,11850,4.0737,353.24,2630,3.42,42.13
狗,1,8,11808,4.0722,351.99,2627,3.4195,42.08
可是,2,14,11739,4.0696,349.93,3783,3.5778,60.6
世界,2,14,11721,4.069,349.4,4044,3.6068,64.78
小时,2,10,11709,4.0685,349.04,4313,3.6348,69.09
重要,2,18,11677,4.0673,348.08,4515,3.6547,72.32
谈,1,10,11653,4.0664,347.37,3982,3.6001,63.78
别人,2,9,11613,4.0649,346.18,4473,3.6506,71.65
男人,2,9,11608,4.0648,346.03,3833,3.5835,61.4
头,1,5,11582,4.0638,345.25,4379,3.6414,70.14
机会,2,12,11571,4.0634,344.92,4370,3.6405,70
岁,1,6,11556,4.0628,344.48,3915,3.5927,62.71
出去,2,10,11524,4.0616,343.52,4347,3.6382,69.63
活,1,9,11509,4.061,343.08,4038,3.6062,64.68
看见,2,13,11442,4.0585,341.08,3834,3.5837,61.41
者,1,8,11387,4.0564,339.44,3517,3.5462,56.34
打电话,3,18,11289,4.0527,336.52,3821,3.5822,61.2
喂,1,12,11286,4.0525,336.43,3067,3.4867,49.13
好像,2,19,11214,4.0498,334.28,4203,3.6236,67.32
得到,2,19,11188,4.0488,333.51,4323,3.6358,69.25
警察,2,33,11176,4.0483,333.15,2784,3.4447,44.59
完,1,7,11162,4.0477,332.73,4599,3.6627,73.67
张,1,7,11146,4.0471,332.26,3980,3.5999,63.75
儿子,2,5,11100,4.0453,330.88,2923,3.4658,46.82
之后,2,9,11099,4.0453,330.85,4193,3.6225,67.16
漂亮,2,23,11032,4.0427,328.86,3836,3.5839,61.44
分钟,2,13,11029,4.0425,328.77,4009,3.603,64.22
接,1,11,10970,4.0402,327.01,4197,3.6229,67.23
场,1,6,10963,4.0399,326.8,3926,3.594,62.89
再见,2,10,10958,4.0397,326.65,3721,3.5707,59.6
求,1,7,10904,4.0376,325.04,3504,3.5446,56.13
刚,1,6,10888,4.0369,324.56,4456,3.6489,71.38
如何,2,13,10879,4.0366,324.3,4019,3.6041,64.38
比赛,2,18,10726,4.0304,319.74,1785,3.2516,28.59
呀,1,7,10700,4.0294,318.96,2378,3.3762,38.09
情况,2,18,10673,4.0283,318.16,4141,3.6171,66.33
变,1,8,10580,4.0245,315.38,4291,3.6326,68.73
关系,2,13,10567,4.024,315,4219,3.6252,67.58
真是,2,19,10559,4.0236,314.76,4177,3.6209,66.91
女士,2,6,10544,4.023,314.31,3437,3.5362,55.05
本,1,5,10526,4.0223,313.77,3743,3.5732,59.96
马上,2,6,10413,4.0176,310.4,4266,3.63,68.33
决定,2,14,10318,4.0136,307.57,3979,3.5998,63.74
见到,2,12,10317,4.0136,307.54,4049,3.6073,64.86
根本,2,15,10311,4.0133,307.36,4185,3.6217,67.04
关于,2,9,10266,4.0114,306.02,4072,3.6098,65.23
那儿,2,8,10254,4.0109,305.67,3463,3.5395,55.47
难,1,10,10254,4.0109,305.67,4393,3.6428,70.37
只要,2,14,10236,4.0101,305.13,4393,3.6428,70.37
里面,2,16,10183,4.0079,303.55,4099,3.6127,65.66
每,1,7,10154,4.0066,302.68,4252,3.6286,68.11
份,1,6,10154,4.0066,302.68,3987,3.6006,63.86
到底,2,16,10133,4.0057,302.06,4247,3.6281,68.03
了解,2,15,10127,4.0055,301.88,4076,3.6102,65.29
明天,2,12,10108,4.0047,301.31,3900,3.5911,62.47
站,1,10,10081,4.0035,300.51,3971,3.5989,63.61
结束,2,16,10050,4.0022,299.58,4167,3.6198,66.75
公司,2,9,10046,4.002,299.46,2684,3.4288,42.99
成为,2,10,10038,4.0016,299.23,3875,3.5883,62.07
永远,2,12,10036,4.0016,299.17,4083,3.611,65.4
帮助,2,16,10033,4.0014,299.08,3991,3.6011,63.93
来说,2,16,10026,4.0011,298.87,4223,3.6256,67.64
多少,2,10,9965,3.9985,297.05,4135,3.6165,66.23
哇,1,9,9951,3.9979,296.63,3181,3.5026,50.95
名,1,6,9950,3.9978,296.6,3522,3.5468,56.42
它们,2,10,9933,3.9971,296.1,3301,3.5186,52.88
总,1,9,9898,3.9955,295.05,4260,3.6294,68.24
确定,2,20,9889,3.9952,294.78,4072,3.6098,65.23
有人,2,8,9877,3.9946,294.43,4277,3.6311,68.51
清楚,2,24,9836,3.9928,293.2,4193,3.6225,67.16
晚上,2,14,9574,3.9811,285.39,3763,3.5755,60.28
安全,2,12,9541,3.9796,284.41,3339,3.5236,53.48
怎样,2,19,9529,3.979,284.05,3607,3.5571,57.78
没什么,3,14,9452,3.9755,281.76,4162,3.6193,66.67
块,1,7,9365,3.9715,279.16,3358,3.5261,53.79
回家,2,16,9360,3.9713,279.02,3807,3.5806,60.98
留,1,10,9272,3.9672,276.39,4166,3.6197,66.73
周,1,8,9241,3.9657,275.47,3254,3.5124,52.12
愿意,2,27,9191,3.9634,273.98,3915,3.5927,62.71
计划,2,10,9169,3.9623,273.32,3410,3.5328,54.62
爸,1,8,9154,3.9616,272.87,2424,3.3845,38.83
俩,1,9,9037,3.956,269.39,3474,3.5408,55.65
停,1,11,9028,3.9556,269.12,3794,3.5791,60.77
不能,2,14,9019,3.9552,268.85,4266,3.63,68.33
他妈的,3,19,9006,3.9545,268.46,1706,3.232,27.33
说话,2,17,8985,3.9535,267.84,3987,3.6006,63.86
另,1,5,8973,3.9529,267.48,4051,3.6076,64.89
心,1,4,8955,3.9521,266.94,3795,3.5792,60.79
花,1,7,8947,3.9517,266.7,3902,3.5913,62.5
她们,2,11,8912,3.95,265.66,2322,3.3659,37.19
有些,2,14,8889,3.9489,264.98,4003,3.6024,64.12
门,1,3,8879,3.9484,264.68,3504,3.5446,56.13
感谢,2,25,8860,3.9474,264.11,3591,3.5552,57.52
谈谈,2,20,8820,3.9455,262.92,3760,3.5752,60.23
定,1,8,8761,3.9426,261.16,3840,3.5843,61.51
于,1,3,8727,3.9409,260.15,3825,3.5826,61.27
以后,2,10,8698,3.9394,259.28,3750,3.574,60.07
管,1,14,8697,3.9394,259.25,3992,3.6012,63.94
照片,2,17,8687,3.9389,258.95,2474,3.3934,39.63
每个,2,10,8685,3.9388,258.89,3803,3.5801,60.92
欢迎,2,13,8674,3.9382,258.57,3215,3.5072,51.5
敢,1,11,8664,3.9377,258.27,4039,3.6063,64.7
兄弟,2,12,8631,3.9361,257.28,2717,3.4341,43.52
从来,2,11,8581,3.9335,255.79,3753,3.5744,60.12
总是,2,18,8552,3.9321,254.93,3894,3.5904,62.37
嘴,1,16,8513,3.9301,253.77,3384,3.5294,54.2
跳,1,13,8496,3.9292,253.26,2723,3.435,43.62
拜托,2,15,8456,3.9272,252.07,3240,3.5105,51.9
女儿,2,5,8450,3.9269,251.89,2639,3.4214,42.27
抓,1,7,8430,3.9258,251.29,3357,3.526,53.77
小姐,2,11,8423,3.9255,251.08,2582,3.412,41.36
动,1,6,8406,3.9246,250.58,3323,3.5215,53.23
赢,1,17,8363,3.9224,249.3,2646,3.4226,42.38
消息,2,20,8346,3.9215,248.79,3612,3.5577,57.86
女,1,3,8343,3.9213,248.7,3433,3.5357,54.99
忙,1,6,8342,3.9213,248.67,3818,3.5818,61.16
或许,2,14,8315,3.9199,247.86,2549,3.4064,40.83
如此,2,12,8305,3.9193,247.57,3596,3.5558,57.6
队,1,4,8286,3.9183,247,2141,3.3306,34.29
无法,2,12,8226,3.9152,245.21,3443,3.5369,55.15
房子,2,11,8223,3.915,245.12,2820,3.4502,45.17
拉,1,8,8219,3.9148,245,2886,3.4603,46.23
衣服,2,14,8130,3.9101,242.35,3326,3.5219,53.28
听说,2,16,8098,3.9084,241.4,3728,3.5715,59.71
救,1,11,8095,3.9082,241.31,2977,3.4738,47.69
参加,2,13,8081,3.9075,240.89,3191,3.5039,51.11
办法,2,12,8059,3.9063,240.23,3701,3.5683,59.28
睡,1,13,8031,3.9048,239.4,3200,3.5051,51.26
唯一,2,12,8023,3.9043,239.16,3960,3.5977,63.43
回去,2,11,7993,3.9027,238.27,3651,3.5624,58.48
人们,2,7,7990,3.9025,238.18,3470,3.5403,55.58
晚,1,11,7970,3.9015,237.58,3725,3.5711,59.67
该死,2,14,7905,3.8979,235.64,2795,3.4464,44.77
闭,1,6,7894,3.8973,235.32,3266,3.514,52.31
选择,2,17,7885,3.8968,235.05,3406,3.5322,54.56
坏,1,7,7842,3.8944,233.76,3720,3.5705,59.59
原因,2,16,7829,3.8937,233.38,3795,3.5792,60.79
下去,2,8,7767,3.8903,231.53,3564,3.5519,57.09
受,1,8,7756,3.8896,231.2,3879,3.5887,62.13
连,1,7,7706,3.8868,229.71,3711,3.5695,59.44
好好,2,12,7704,3.8867,229.65,3718,3.5703,59.55
全,1,6,7693,3.8861,229.32,3607,3.5571,57.78
确实,2,20,7630,3.8825,227.45,3337,3.5234,53.45
挺,1,9,7603,3.881,226.64,3319,3.521,53.16
此,1,6,7595,3.8805,226.4,3539,3.5489,56.69
水,1,4,7581,3.8797,225.98,3094,3.4905,49.56
混蛋,2,22,7572,3.8792,225.72,2446,3.3885,39.18
杯,1,8,7541,3.8774,224.79,3094,3.4905,49.56
保证,2,16,7515,3.8759,224.02,3626,3.5594,58.08
学校,2,18,7502,3.8752,223.63,2435,3.3865,39
卖,1,8,7475,3.8736,222.82,2872,3.4582,46
信,1,9,7450,3.8722,222.08,2883,3.4598,46.18
接受,2,19,7444,3.8718,221.9,3580,3.5539,57.34
改变,2,15,7434,3.8712,221.6,3404,3.532,54.53
舞,1,14,7420,3.8704,221.19,1012,3.0052,16.21
看来,2,16,7416,3.8702,221.07,3574,3.5532,57.25
